age,educ_level,marital_status,occupation_name,race,sex,workclass,capital_gain,hours_week,over_50k,origin_c_income
56,hs_grad,Married-civ-spouse,Other-service,White,Male,Self-emp-not-inc,-1887,50,1,High Income
28,some_college,Married-civ-spouse,Sales,White,Female,Private,4064,25,0,US
36,hs_grad,Never-married,Machine-op-inspct,White,Female,Private,0,40,0,US
53,some_hs,Married-civ-spouse,Handlers-cleaners,White,Male,Private,0,50,0,US
56,some_college,Married-civ-spouse,Sales,White,Male,Self-emp-inc,0,50,0,US
49,Assoc-voc,Married-civ-spouse,Craft-repair,Black,Male,Local-gov,0,40,1,US
55,some_college,Married-civ-spouse,Sales,White,Male,Private,0,56,0,US
22,hs_grad,Never-married,Craft-repair,White,Male,Private,0,41,0,US
21,some_college,Never-married,Other-service,White,Female,Private,0,40,0,US
40,college_grad,Married-civ-spouse,Exec-managerial,White,Male,Private,0,60,0,US
30,college_grad,Never-married,Exec-managerial,Black,Male,Private,0,40,0,High Income
29,college_grad,Married-civ-spouse,Prof-specialty,White,Male,State-gov,0,50,1,US
19,some_college,Never-married,Other-service,Black,Male,Private,0,35,0,US
47,college_grad,Married-civ-spouse,Exec-managerial,White,Female,Private,0,40,1,US
20,some_college,Never-married,Adm-clerical,White,Female,Private,-1719,28,0,US
31,assoc_prof,Married-civ-spouse,Adm-clerical,White,Male,Private,0,40,1,US
35,hs_grad,Married-civ-spouse,,White,Male,,0,40,0,US
39,some_college,Divorced,Craft-repair,White,Male,Private,0,40,0,US
28,assoc_prof,Never-married,Sales,White,Female,Private,0,60,0,US
24,hs_grad,Never-married,Other-service,White,Female,Private,-1762,40,0,US
38,hs_grad,Married-civ-spouse,Craft-repair,White,Male,Self-emp-not-inc,4386,35,0,US
37,college_grad,Married-civ-spouse,Sales,White,Male,Private,0,50,0,US
46,assoc_prof,Divorced,Tech-support,Black,Female,Private,0,36,0,US
38,masters,Married-civ-spouse,Prof-specialty,White,Male,Federal-gov,0,40,1,High Income
43,hs_grad,Married-civ-spouse,Craft-repair,White,Male,Self-emp-not-inc,0,60,0,US
27,Assoc-voc,Married-civ-spouse,Adm-clerical,White,Female,Private,0,35,0,US
20,some_college,Never-married,Sales,White,Male,Private,0,20,0,US
49,some_college,Married-civ-spouse,Craft-repair,Asian-Pac-Islander,Male,Private,0,40,1,US
61,hs_grad,Married-civ-spouse,Craft-repair,White,Male,Self-emp-inc,0,40,0,US
27,some_college,Never-married,Sales,White,Female,Private,0,40,0,US
19,some_college,Never-married,Other-service,White,Male,Private,0,30,0,High Income
45,Assoc-voc,Never-married,Prof-specialty,White,Female,Private,-1564,40,1,US
70,some_college,Never-married,Tech-support,White,Male,Private,0,40,0,US
31,hs_grad,Never-married,Transport-moving,Black,Female,Private,0,30,0,US
22,some_college,Married-civ-spouse,Other-service,White,Male,Private,0,24,0,US
36,hs_grad,Widowed,Other-service,White,Female,Private,0,24,0,US
64,some_hs,Married-civ-spouse,Craft-repair,White,Male,Private,-2179,40,0,US
43,some_college,Divorced,,White,Female,,0,40,0,US
47,some_college,Divorced,Adm-clerical,White,Female,Local-gov,0,38,0,High Income
34,hs_grad,Never-married,Adm-clerical,White,Female,Private,0,40,0,US
33,college_grad,Never-married,Exec-managerial,Asian-Pac-Islander,Female,Private,0,40,0,Middle Income
21,hs_grad,Never-married,Craft-repair,White,Male,Private,0,35,0,US
52,hs_grad,Divorced,,White,Male,,0,45,1,US
48,hs_grad,Married-civ-spouse,Craft-repair,White,Male,Private,0,46,0,US
23,college_grad,Never-married,Handlers-cleaners,White,Male,Private,0,40,0,US
71,some_college,Separated,Sales,Black,Male,Self-emp-not-inc,-1816,2,0,US
29,hs_grad,Divorced,Craft-repair,White,Male,Private,0,60,0,US
42,college_grad,Separated,Other-service,Black,Male,Private,0,50,0,US
68,no_ms,Divorced,,White,Female,,0,20,0,US
25,hs_grad,Never-married,Other-service,White,Female,Private,0,40,0,US
44,masters,Divorced,Exec-managerial,Asian-Pac-Islander,Female,Self-emp-inc,0,40,0,US
28,hs_grad,Never-married,Exec-managerial,Asian-Pac-Islander,Female,Private,0,40,0,High Income
45,masters,Married-civ-spouse,Sales,White,Male,Self-emp-not-inc,0,40,1,US
36,some_college,Divorced,Other-service,White,Female,Private,0,40,0,High Income
39,assoc_prof,Never-married,Exec-managerial,White,Male,Federal-gov,0,42,0,US
46,masters,Widowed,Protective-serv,White,Male,State-gov,0,40,0,US
18,some_hs,Never-married,Handlers-cleaners,White,Male,Private,0,16,0,US
66,Assoc-voc,Widowed,Prof-specialty,White,Female,Local-gov,0,20,0,US
27,hs_grad,Never-married,Other-service,White,Male,Private,-1980,40,0,US
28,hs_grad,Married-civ-spouse,Protective-serv,White,Male,State-gov,0,40,0,US
51,some_college,Married-civ-spouse,Sales,White,Male,Private,-1977,40,1,US
27,college_grad,Never-married,Craft-repair,White,Male,Private,0,50,0,US
28,college_grad,Married-civ-spouse,Prof-specialty,White,Male,State-gov,0,40,1,US
27,hs_grad,Married-spouse-absent,Sales,White,Female,Private,0,25,0,US
21,hs_grad,Never-married,Craft-repair,Black,Male,Private,0,40,0,US
34,hs_grad,Never-married,Handlers-cleaners,Black,Male,Private,0,40,0,US
18,hs_grad,Never-married,Other-service,White,Male,Private,0,12,0,US
33,college_grad,Married-civ-spouse,Prof-specialty,White,Male,Private,0,65,0,US
44,some_college,Married-civ-spouse,Exec-managerial,Black,Male,Local-gov,0,38,1,US
43,some_college,Divorced,Adm-clerical,White,Female,Private,0,40,0,US
30,some_college,Never-married,Craft-repair,Black,Male,Private,0,45,0,US
40,no_hs,Married-civ-spouse,Machine-op-inspct,White,Male,Private,0,40,1,High Income
37,some_college,Married-civ-spouse,Adm-clerical,White,Male,Federal-gov,0,42,1,US
34,hs_grad,Married-civ-spouse,Adm-clerical,Black,Male,Private,0,40,0,US
41,college_grad,Divorced,Exec-managerial,White,Female,Self-emp-not-inc,0,40,0,US
53,college_grad,Divorced,,White,Female,,0,50,0,US
31,masters,Married-civ-spouse,Prof-specialty,White,Female,Private,0,50,0,US
58,doctorate,Married-civ-spouse,Prof-specialty,White,Male,State-gov,0,1,1,US
38,some_college,Divorced,Machine-op-inspct,Black,Female,Private,0,28,0,US
24,some_college,Married-civ-spouse,Machine-op-inspct,White,Male,Private,0,40,0,US
41,college_grad,Married-civ-spouse,Craft-repair,Black,Male,Local-gov,0,40,0,US
47,some_college,Married-civ-spouse,Tech-support,White,Male,Private,0,45,0,US
41,college_grad,Married-civ-spouse,Tech-support,White,Male,Federal-gov,0,24,0,US
23,no_hs,Married-civ-spouse,Transport-moving,White,Male,Private,0,40,0,High Income
36,some_college,Divorced,Craft-repair,White,Male,Private,0,40,0,US
40,masters,Never-married,Exec-managerial,White,Female,Federal-gov,14084,55,1,US
35,masters,Married-civ-spouse,Prof-specialty,White,Male,Private,7298,40,1,US
24,hs_grad,Never-married,Sales,White,Male,Self-emp-not-inc,0,40,0,US
26,masters,Never-married,Prof-specialty,White,Female,Private,-1876,40,0,US
19,hs_grad,Never-married,,White,Male,,0,40,0,High Income
51,college_grad,Married-civ-spouse,Exec-managerial,White,Male,Private,0,50,1,US
42,some_college,Never-married,Prof-specialty,White,Female,Local-gov,-1340,40,0,US
37,hs_grad,Divorced,Adm-clerical,White,Female,State-gov,0,35,0,US
18,some_hs,Never-married,Sales,White,Female,Private,0,40,0,US
36,college_grad,Married-civ-spouse,Other-service,Black,Male,Private,7298,36,1,US
35,hs_grad,Divorced,Craft-repair,White,Male,Private,0,60,0,US
58,hs_grad,Married-civ-spouse,Sales,White,Female,Self-emp-inc,15024,35,1,US
17,some_hs,Never-married,Sales,White,Female,Private,0,12,0,US
44,hs_grad,Married-civ-spouse,Transport-moving,Black,Male,Local-gov,0,40,0,US
37,hs_grad,Married-civ-spouse,Craft-repair,White,Male,Private,0,40,1,US
35,some_college,Never-married,Sales,Amer-Indian-Eskimo,Female,Private,0,40,0,US
60,hs_grad,Married-civ-spouse,Craft-repair,Asian-Pac-Islander,Male,Private,0,40,0,US
54,no_hs,Married-civ-spouse,Machine-op-inspct,White,Male,Self-emp-inc,0,40,1,US
37,college_grad,Never-married,Exec-managerial,Black,Male,Private,0,60,1,US
50,assoc_prof,Divorced,Sales,White,Female,Private,0,40,0,US
38,college_grad,Married-civ-spouse,Sales,White,Male,Private,0,50,0,High Income
45,college_grad,Married-civ-spouse,Prof-specialty,White,Male,Private,0,55,0,US
25,some_hs,Never-married,Craft-repair,White,Male,Private,0,40,0,US
31,some_college,Married-civ-spouse,Handlers-cleaners,White,Male,Private,0,40,0,US
64,no_ms,Divorced,,White,Male,,0,40,0,US
90,hs_grad,Never-married,Other-service,Black,Male,Private,-2206,40,0,US
54,hs_grad,Married-civ-spouse,Adm-clerical,Black,Male,Private,0,20,0,US
53,no_ms,Never-married,Machine-op-inspct,White,Female,Local-gov,0,35,0,US
18,hs_grad,Never-married,Sales,White,Female,Private,0,40,0,US
60,some_hs,Divorced,,Amer-Indian-Eskimo,Female,,0,10,0,US
66,hs_grad,Married-civ-spouse,Farming-fishing,White,Male,Self-emp-not-inc,1409,50,0,US
75,Assoc-voc,Widowed,Adm-clerical,White,Female,Private,0,20,0,High Income
65,hs_grad,Divorced,Adm-clerical,White,Female,Private,0,40,0,US
35,some_hs,Separated,Transport-moving,Black,Male,Private,3674,40,0,US
41,hs_grad,Divorced,Sales,Black,Female,Private,0,38,0,US
25,some_college,Never-married,Adm-clerical,White,Male,Private,0,42,0,US
33,some_college,Divorced,Craft-repair,Other,Female,Private,0,40,0,US
28,assoc_prof,Never-married,Prof-specialty,White,Male,Private,0,55,1,US
59,hs_grad,Married-civ-spouse,Other-service,White,Male,State-gov,0,40,0,US
40,some_college,Never-married,Adm-clerical,White,Female,State-gov,0,38,0,US
41,college_grad,Married-civ-spouse,Exec-managerial,White,Male,Private,0,50,1,High Income
38,masters,Married-civ-spouse,Exec-managerial,White,Male,Local-gov,0,70,1,US
23,hs_grad,Never-married,Transport-moving,White,Male,Private,0,40,0,US
40,college_grad,Married-civ-spouse,Prof-specialty,White,Male,Private,0,40,1,US
41,hs_grad,Married-civ-spouse,Other-service,White,Female,Self-emp-not-inc,0,20,0,US
24,assoc_prof,Married-civ-spouse,Protective-serv,White,Male,State-gov,0,50,0,US
20,some_college,Never-married,,White,Male,,0,20,0,US
38,some_college,Divorced,Craft-repair,White,Male,Private,-1741,40,0,US
56,hs_grad,Married-civ-spouse,Adm-clerical,White,Male,Private,0,35,0,
58,hs_grad,Married-civ-spouse,Adm-clerical,White,Male,Private,0,45,1,US
32,hs_grad,Never-married,Other-service,White,Female,Private,0,34,0,US
40,assoc_prof,Married-civ-spouse,Tech-support,White,Male,Private,-1977,60,1,US
45,hs_grad,Married-civ-spouse,Adm-clerical,White,Male,Private,0,40,0,
41,assoc_prof,Married-civ-spouse,Prof-specialty,White,Female,Private,0,40,1,US
42,college_grad,Married-civ-spouse,Adm-clerical,Black,Female,Private,0,40,0,US
59,some_hs,Widowed,Other-service,Black,Female,Local-gov,0,30,0,US
19,some_college,Never-married,Adm-clerical,White,Male,Local-gov,0,40,0,US
58,some_college,Never-married,Transport-moving,White,Male,Private,0,20,0,US
42,hs_grad,Married-civ-spouse,Farming-fishing,Asian-Pac-Islander,Male,Self-emp-not-inc,0,40,1,Lower Middle Income
20,hs_grad,Never-married,Other-service,White,Female,Private,0,40,0,US
32,hs_grad,Separated,Other-service,White,Female,Private,0,30,0,US
45,Assoc-voc,Widowed,Exec-managerial,White,Female,Private,0,45,0,US
50,no_hs,Divorced,Craft-repair,White,Male,Private,0,40,0,US
36,college_grad,Divorced,Prof-specialty,White,Female,Private,0,40,0,US
45,hs_grad,Married-civ-spouse,Sales,White,Male,Private,0,60,0,US
17,some_hs,Never-married,Other-service,White,Male,Private,0,12,0,US
59,some_college,Married-civ-spouse,Sales,White,Male,Private,4064,40,0,US
26,some_hs,Married-civ-spouse,Craft-repair,White,Male,Private,0,40,0,US
37,some_college,Married-civ-spouse,Exec-managerial,Asian-Pac-Islander,Male,Self-emp-inc,0,75,1,High Income
19,some_college,Never-married,,White,Male,,0,24,0,High Income
64,hs_grad,Married-civ-spouse,Exec-managerial,White,Male,Private,0,40,1,US
33,college_grad,Never-married,Prof-specialty,White,Female,Private,0,45,0,US
33,hs_grad,Married-civ-spouse,Craft-repair,White,Female,Private,0,40,1,US
61,hs_grad,Married-civ-spouse,Exec-managerial,White,Male,Private,0,40,1,US
17,some_hs,Never-married,Other-service,White,Male,Private,1055,24,0,US
50,masters,Married-civ-spouse,Farming-fishing,White,Male,Self-emp-not-inc,2407,98,0,US
27,masters,Never-married,Prof-specialty,White,Male,Local-gov,0,35,0,US
30,hs_grad,Divorced,Prof-specialty,White,Female,Private,0,40,0,US
43,hs_grad,Married-civ-spouse,Handlers-cleaners,Black,Male,Private,0,40,0,US
44,some_college,Married-civ-spouse,Craft-repair,White,Male,Private,7298,40,1,US
35,some_college,Never-married,Exec-managerial,White,Female,Private,0,40,0,US
25,some_college,Never-married,Tech-support,White,Female,Private,0,40,0,US
24,some_college,Married-civ-spouse,Machine-op-inspct,White,Female,Private,7298,48,1,US
22,college_grad,Never-married,Prof-specialty,White,Female,Private,0,15,0,High Income
42,some_college,Married-civ-spouse,Craft-repair,White,Male,Local-gov,5178,40,1,US
34,assoc_prof,Divorced,Sales,Black,Female,Private,0,45,0,US
60,college_grad,Divorced,Prof-specialty,White,Female,Private,0,42,0,US
21,hs_grad,Never-married,Handlers-cleaners,White,Male,Private,0,40,0,US
57,masters,Married-civ-spouse,Sales,White,Male,Federal-gov,15024,40,1,US
41,assoc_prof,Married-civ-spouse,Prof-specialty,White,Male,Private,0,60,1,US
50,some_college,Divorced,Other-service,White,Male,Private,0,45,0,US
25,college_grad,Never-married,Exec-managerial,White,Female,Private,0,40,0,US
50,no_hs,Married-civ-spouse,Craft-repair,White,Male,Private,0,40,0,High Income
36,college_grad,Married-civ-spouse,Prof-specialty,White,Male,Private,0,45,0,US
31,hs_grad,Divorced,Prof-specialty,White,Female,Private,0,40,0,US
29,college_grad,Never-married,Protective-serv,White,Male,Local-gov,0,56,0,US
21,some_college,Never-married,Sales,White,Male,Private,0,45,0,US
27,college_grad,Never-married,Tech-support,Black,Female,Private,0,40,0,US
65,hs_grad,Married-civ-spouse,Transport-moving,White,Male,Private,0,16,0,US
37,college_grad,Divorced,Sales,White,Female,Self-emp-inc,0,60,0,US
39,masters,Married-civ-spouse,,Asian-Pac-Islander,Female,,3464,40,0,
24,hs_grad,Never-married,Craft-repair,White,Male,Private,0,40,0,US
38,hs_grad,Divorced,Sales,White,Male,Private,0,80,0,US
48,college_grad,Married-civ-spouse,Adm-clerical,White,Male,Private,7688,40,1,US
21,some_college,Never-married,Other-service,Asian-Pac-Islander,Female,Private,0,25,0,US
31,hs_grad,Married-civ-spouse,Transport-moving,White,Male,Private,0,45,1,US
55,hs_grad,Married-civ-spouse,Sales,White,Male,Private,4386,40,1,US
24,some_college,Married-civ-spouse,Adm-clerical,Asian-Pac-Islander,Female,Private,0,40,0,Lower Middle Income
43,hs_grad,Divorced,Adm-clerical,White,Female,Private,0,40,0,US
26,assoc_prof,Never-married,Tech-support,White,Male,Private,0,45,0,US
46,assoc_prof,Never-married,Prof-specialty,White,Female,Private,0,33,0,US
35,assoc_prof,Married-civ-spouse,Adm-clerical,White,Male,Private,0,40,1,US
41,some_college,Married-civ-spouse,Farming-fishing,White,Male,Self-emp-inc,0,54,1,US
26,college_grad,Never-married,Sales,White,Male,Private,0,40,0,US
34,masters,Married-civ-spouse,Exec-managerial,Asian-Pac-Islander,Male,Private,7298,35,1,Middle Income
19,some_college,Never-married,,Black,Female,,0,25,0,US
36,college_grad,Divorced,Prof-specialty,Black,Female,Self-emp-not-inc,0,40,1,US
22,some_college,Never-married,Sales,White,Male,Private,0,15,0,US
24,some_college,Never-married,Machine-op-inspct,White,Male,Private,0,40,0,US
77,some_college,Married-civ-spouse,Sales,White,Male,Self-emp-not-inc,0,40,0,US
22,no_hs,Married-civ-spouse,Machine-op-inspct,White,Female,Private,0,40,0,High Income
29,some_college,Never-married,Tech-support,White,Female,Private,0,40,0,US
62,hs_grad,Widowed,Other-service,White,Female,Private,0,24,0,US
39,hs_grad,Married-civ-spouse,Exec-managerial,White,Male,Self-emp-not-inc,0,40,0,US
43,some_college,Married-civ-spouse,Craft-repair,White,Male,Private,-1485,50,0,US
35,hs_grad,Divorced,Transport-moving,White,Male,Private,0,45,0,US
29,some_hs,Never-married,Exec-managerial,White,Female,Private,0,40,0,US
76,masters,Married-civ-spouse,Craft-repair,White,Male,Self-emp-not-inc,0,10,0,US
63,hs_grad,Married-civ-spouse,Farming-fishing,White,Male,Self-emp-not-inc,0,45,0,US
23,Assoc-voc,Never-married,,Black,Female,,0,15,0,US
43,some_college,Married-civ-spouse,Prof-specialty,White,Female,Private,-1887,50,1,US
58,hs_grad,Married-civ-spouse,Handlers-cleaners,White,Male,Self-emp-not-inc,0,40,0,US
66,hs_grad,Never-married,Transport-moving,White,Male,Private,2050,55,0,US
41,some_college,Never-married,Craft-repair,Black,Male,Private,0,45,0,US
26,college_grad,Never-married,Adm-clerical,White,Male,Private,0,40,0,US
47,Assoc-voc,Never-married,Other-service,White,Male,Private,0,40,0,US
55,some_hs,Married-civ-spouse,Adm-clerical,White,Male,Local-gov,0,40,0,US
53,hs_grad,Married-civ-spouse,Transport-moving,White,Male,Private,0,40,0,US
17,no_hs,Never-married,Other-service,White,Male,Private,0,48,0,High Income
30,hs_grad,Never-married,Craft-repair,White,Male,Private,0,40,0,US
49,masters,Never-married,Prof-specialty,White,Male,Private,0,60,0,US
19,hs_grad,Never-married,Sales,Black,Male,Private,0,30,0,Lower Middle Income
45,hs_grad,Married-civ-spouse,Other-service,Black,Male,Private,0,40,0,US
26,assoc_prof,Never-married,Sales,White,Male,Private,0,40,0,US
38,Assoc-voc,Married-civ-spouse,Craft-repair,White,Male,Private,7298,40,1,US
36,hs_grad,Married-civ-spouse,Protective-serv,White,Male,State-gov,7298,40,1,US
33,hs_grad,Never-married,Farming-fishing,White,Male,Private,0,20,0,US
22,some_college,Never-married,Protective-serv,Black,Female,State-gov,0,40,0,US
43,college_grad,Never-married,Sales,White,Male,Self-emp-not-inc,0,42,0,US
67,some_hs,Married-civ-spouse,,White,Male,,0,8,0,US
30,Assoc-voc,Divorced,,White,Female,,0,40,0,US
56,assoc_prof,Married-spouse-absent,Other-service,White,Male,Private,0,25,0,High Income
31,college_grad,Never-married,Prof-specialty,White,Male,Private,0,25,0,US
33,college_grad,Married-civ-spouse,Exec-managerial,White,Male,Private,0,40,1,US
26,hs_grad,Married-civ-spouse,Other-service,White,Male,Private,0,40,0,US
